Brand Name,Rating,MRP,Ram_size,Ram_type,Operating system,Disk_type,Disk_size
6,4.2,38705,4,0,1,1,4
2,4.6,85990,1,0,1,1,1
0,3.7,61999,4,0,1,1,4
5,4.3,28990,4,0,1,1,4
6,4.2,35590,4,0,1,1,4
2,4.9,150990,1,0,1,1,1
6,4.3,54990,4,0,0,1,4
2,4.3,56990,1,0,1,1,1
2,5.0,45990,4,0,1,1,4
2,4.3,38216,4,0,1,1,4
6,4.2,36990,4,0,1,1,4
6,4.2,39990,4,0,1,1,4
7,4.1,79990,4,0,1,1,4
3,4.6,43990,3,0,0,0,3
10,4.1,39990,4,0,1,1,4
2,4.3,196990,1,1,1,1,1
5,4.3,108250,1,0,1,1,1
2,3.7,28990,3,0,0,0,3
7,4.3,389990,2,1,1,1,2
3,3.7,67224,1,0,1,1,1
6,4.2,38705,4,0,1,1,4
2,4.6,85990,1,0,1,1,1
0,4.4,114990,1,0,0,0,1
2,4.3,61249,3,0,0,0,3
6,4.2,35590,4,0,1,1,4
2,4.9,150990,1,0,1,1,1
5,4.2,69990,1,0,1,1,1
6,4.3,79990,1,0,1,1,1
6,4.4,37990,4,0,0,1,4
6,4.5,73490,4,0,1,1,4
2,4.3,194990,1,1,1,1,1
2,4.2,29980,3,0,1,1,3
6,4.2,36990,4,0,1,1,4
10,4.1,39990,4,0,1,1,4
3,4.2,41600,4,0,1,1,4
3,3.7,67224,1,0,1,1,1
2,4.3,61986,4,0,1,1,4
2,4.3,196990,1,1,1,1,1
6,4.2,38705,4,0,1,1,4
2,4.3,61249,3,0,0,0,3
5,4.3,38999,4,0,1,1,4
2,4.6,85990,1,0,1,1,1
6,4.2,35590,4,0,1,1,4
6,4.3,31990,3,0,1,1,3
6,4.4,37990,4,0,0,1,4
2,4.2,29980,3,0,1,1,3
2,4.1,46990,4,0,1,1,4
2,4.9,150990,1,0,1,1,1
6,4.5,73490,4,0,1,1,4
6,4.2,39990,4,0,1,1,4
2,4.3,194990,1,1,1,1,1
0,4.5,61490,4,0,0,0,4
5,4.6,109990,1,0,0,1,1
5,4.2,54990,4,0,1,1,4
6,4.0,50990,4,0,0,1,4
6,4.2,36990,4,0,1,1,4
10,4.1,39990,4,0,1,1,4
7,4.2,62190,4,0,0,0,4
2,4.3,196990,1,1,1,1,1
6,4.2,38705,4,0,1,1,4
6,3.9,36990,4,0,1,0,4
5,4.6,159990,1,0,0,1,1
2,4.0,34490,3,0,1,1,3
2,4.4,99990,1,0,1,1,1
2,4.6,85990,1,0,1,1,1
6,4.2,35590,4,0,1,1,4
2,4.9,150990,1,0,1,1,1
6,4.2,39990,4,0,1,1,4
5,4.1,41490,4,0,1,0,4
3,4.3,206581,1,1,1,1,1
2,4.3,59990,4,0,1,1,4
0,4.3,62990,1,0,1,1,1
2,4.3,194990,1,1,1,1,1
6,4.3,44990,4,0,1,1,4
2,4.3,194990,1,1,1,1,1
2,4.4,62990,4,0,0,0,4
10,4.1,39990,4,0,1,1,4
2,4.3,196990,1,1,1,1,1
6,4.5,61990,4,0,0,1,4
2,4.0,105990,1,1,1,1,1
0,5.0,155490,1,1,1,1,1
11,4.3,19990,3,3,1,1,3
6,4.2,38705,4,0,1,1,4
2,4.6,85990,1,0,1,1,1
6,3.9,33499,3,0,0,0,3
6,4.2,35590,4,0,1,1,4
2,4.9,150990,1,0,1,1,1
5,3.9,63990,4,0,1,1,4
0,4.4,124990,1,0,1,1,1
6,5.0,30100,3,0,0,1,3
6,4.2,36990,4,0,1,1,4
6,4.2,39990,4,0,1,1,4
5,4.3,199990,2,1,1,1,2
0,4.5,61130,4,0,1,0,4
2,4.3,194990,1,1,1,1,1
6,4.3,44990,4,0,1,1,4
6,4.3,40990,4,0,1,0,4
2,4.4,75990,4,0,0,1,4
5,4.3,46890,4,0,1,1,4
6,4.3,37390,4,0,1,1,4
6,4.2,36990,4,0,1,1,4
6,4.2,39990,4,0,1,1,4
6,4.3,68490,1,0,1,1,1
10,4.1,39990,4,0,1,1,4
2,4.3,196990,1,1,1,1,1
2,3.8,89990,1,0,1,1,1
3,4.0,59790,4,0,1,1,4
7,4.1,125990,1,0,1,1,1
2,4.3,249990,2,1,1,1,2
